name,price,premium,ratingAvg,user_handle,category,firstPublish,datePublished,modified,likesCount,downloadCount
Crocs Shoes - Fully 3d-printed,,False,5,MakeVerseDes_1910478,Fashion,2024-04-13T08:06:57.559602+00:00,2024-05-01T06:29:40.246748+00:00,2024-05-01T06:29:40.270863+00:00,511,1134
Butterfly Knife - Print in Place - Balisong,,False,5,SanfordPrime_562474,Costumes & Accessories,2024-04-17T00:11:31.611881+00:00,2024-04-23T23:52:46.637904+00:00,2024-04-23T23:52:46.659619+00:00,417,2055
KeyCarry - EDC Key Organizer (M3 screw compatible!),,False,4.8888888889,DownloadedGoods,Hobby & Makers,2024-04-09T05:13:39.674339+00:00,2024-05-02T18:07:42.979084+00:00,2024-05-02T18:07:42.998057+00:00,860,977
Dice Tower Castle Stairs,,False,5,squinn,Toys & Games,2024-04-21T11:46:46.140019+00:00,2024-04-28T18:45:25.175537+00:00,2024-04-28T18:45:25.189545+00:00,446,1354
Table Legs for a Desk Shelf (Generative Design),,False,5,Sintratec_1971557,Household,2024-04-09T08:26:23.811006+00:00,2024-04-09T08:26:23.814770+00:00,2024-04-09T08:26:23.835300+00:00,664,779
PPW Mk1 Self-Adjusting Gripper Plywood/Panel Carrier Clamp,,False,5,Armand,Hobby & Makers,2024-04-20T15:49:44+00:00,2024-04-21T08:02:07+00:00,2024-04-25T12:07:35.244346+00:00,433,335
Bum Buddy: Travelling Bidet Sprayer for PET bottle,,False,4.3333333333,xong_559625,Gadgets,2024-04-08T15:30:32.705340+00:00,2024-04-08T15:30:32.709116+00:00,2024-04-08T15:30:32.743844+00:00,510,893
IYKYK,,False,5,Satyr,Art & Design,2024-04-14T17:44:48.492349+00:00,2024-04-14T18:01:45.422417+00:00,2024-04-14T18:01:45.447625+00:00,418,918
Vslot 2020,,False,5,nanuknanuk_1699973,3D Printers,2024-04-08T09:39:27.999344+00:00,2024-04-09T14:04:10.364050+00:00,2024-04-09T14:04:10.385432+00:00,468,807
Mini Standup Sign - Single Sided,,False,5,PlasticFlow_684486,Art & Design,2024-04-13T08:39:53.080812+00:00,2024-04-13T08:39:53.084659+00:00,2024-04-13T08:39:53.104391+00:00,393,731
MK13 - Case v1.21,,False,5,Lvnatic,Toys & Games,2024-04-11T01:29:59.907613+00:00,2024-04-22T13:09:05.048859+00:00,2024-04-22T13:09:05.077845+00:00,1025,1459
Sliding Holder inspired by commercial but super flat,,False,5,Bluewar,Household,2024-04-07T10:35:30.072516+00:00,2024-04-29T14:09:32.202159+00:00,2024-04-29T14:09:32.222911+00:00,378,459
1 EURO Trolley coin - Low filament use!,,False,5,prntmkr,Household,2024-04-11T09:02:27.296214+00:00,2024-05-01T19:14:41.526359+00:00,2024-05-01T19:14:41.550007+00:00,383,1031
DIY Plexiglass Enclosure,,False,5,EventHorizonR_151042,3D Printers,2024-04-06T17:47:33.618707+00:00,2024-04-06T17:47:33.622633+00:00,2024-04-06T17:47:33.637653+00:00,623,774
Snack Gripper - ergonomic snacking tongs/sticks,,False,4.6,rollionfire_182554,Gadgets,2024-04-05T19:13:02.479875+00:00,2024-04-23T11:49:55.133541+00:00,2024-04-23T11:49:55.159107+00:00,450,1108
PET Bottle Watering Spout (Narrow and Wide),,False,5,cream110_291842,Household,2024-04-14T11:03:58.431300+00:00,2024-04-29T11:41:21.266246+00:00,2024-04-29T11:41:21.285069+00:00,308,793
Natural Skull size,,False,0,Rober7Crow_1502409,Art & Design,2024-04-19T16:47:24.901615+00:00,2024-04-19T16:47:52.671738+00:00,2024-04-19T16:47:52.685425+00:00,303,867
Blade Dispenser for Bed Scraper XL,,False,5,ThreeDMichael,3D Printers,2024-04-10T17:02:40.218729+00:00,2024-04-10T17:06:44.178984+00:00,2024-04-10T17:06:44.199646+00:00,521,1157
Air Spinner,,False,4.9666666667,3DUizard_504961,Gadgets,2024-04-03T10:23:19.138045+00:00,2024-04-18T20:50:08.049965+00:00,2024-04-18T20:50:08.569418+00:00,492,2400
Magnetic Cable Clip Print In Place,,False,5,Sponge,Household,2024-04-06T20:37:14.015437+00:00,2024-04-21T13:17:04.818224+00:00,2024-04-21T13:17:04.841119+00:00,324,395
Porsche 911 kit card,,False,0,Mouchiccc,Hobby & Makers,2024-04-21T15:25:42.694990+00:00,2024-04-21T15:25:42.698108+00:00,2024-04-21T15:25:43.153239+00:00,236,699
Bone Dragon - Articulated dragon,,False,5,BeardedPrinter,Toys & Games,2024-04-14T04:17:44.055101+00:00,2024-04-23T14:12:10.692100+00:00,2024-04-23T14:12:10.715791+00:00,433,1903
Pill Pods (Pillbox / Supplement dispenser),,False,5,SMACKMAX,Healthcare,2024-04-11T11:35:31.017004+00:00,2024-05-01T11:30:08.756640+00:00,2024-05-01T11:30:08.777108+00:00,687,850
Aztec Temple Plant Pot,,False,0,PALIprints3D_1762628,Costumes & Accessories,2024-04-20T14:54:22.410379+00:00,2024-04-20T14:55:30.355090+00:00,2024-04-20T14:55:30.868886+00:00,266,443
BinLink,,False,5,Hugo,Hobby & Makers,2024-04-24T15:29:44.872937+00:00,2024-04-28T15:03:52.917986+00:00,2024-04-28T15:03:52.944562+00:00,216,237
SILENT PING PONG PADDLE - AIRLESS INFILL DESIGN,,False,5,engineericly_333207,Sports & Outdoor,2024-04-06T12:39:14.517338+00:00,2024-04-06T12:39:14.520830+00:00,2024-04-06T12:39:14.537232+00:00,746,1081
Forest Dragon - Articulated Figure Keychain,,False,4.875,biocraftlab,Toys & Games,2024-04-04T07:50:06.000260+00:00,2024-04-04T07:50:06.004314+00:00,2024-04-04T07:50:06.022566+00:00,780,2827
iron man mark 42 arm,,False,0,DaRambo_723816,Costumes & Accessories,2024-04-11T21:46:46.688667+00:00,2024-04-11T21:46:46.692061+00:00,2024-04-11T21:46:46.709474+00:00,383,371
Sun Earth Moon - Kit Card,,False,1.75,crea_hicks,Learning,2024-04-05T11:27:43.564943+00:00,2024-04-05T11:27:43.569217+00:00,2024-04-05T11:27:43.599573+00:00,724,1265
PrismLume,,False,4.875,HowToHomemade,Art & Design,2024-04-08T21:23:49.039322+00:00,2024-05-01T19:27:45.360050+00:00,2024-05-01T19:27:45.384200+00:00,719,593
Rotating Keychain Dispaly,,False,5,NickR1983_763876,Hobby & Makers,2024-04-09T03:45:30.578654+00:00,2024-04-28T05:30:23.812753+00:00,2024-04-28T05:30:23.833401+00:00,446,627
120mm Carbon Filter,,False,5,BaGooN,Gadgets,2024-04-03T11:51:11.883649+00:00,2024-04-03T12:38:00.460484+00:00,2024-04-03T12:38:00.485467+00:00,319,181
Klappdeckel für Bierflasche (print in place),,False,4.9090909091,3D_Bude_848349,Household,2024-04-14T18:17:39.580220+00:00,2024-04-27T18:29:12.982590+00:00,2024-04-27T18:29:13.005850+00:00,353,990
