projectName,plotBearing,street,locality,lat,lon,CertificateNo,project_Village,project_Taluka,project_District,project_Division,project_State,pincode,
Saivilla Appartment,PLOY NO 7 SURVEY NO 97,Not Available,Not Available,18.6239079,73.8124984,P50900005775,Chandrapur (M Cl),Chandrapur,Chandrapur,Nagpur,MAHARASHTRA,442401,
"Apostrophe, Moshi","A, 703, 704 and 705",Spineroad,Moshi,18.6641991463256,73.8384665489433,P52100000905,Pimpri Chinchawad (M Corp.),Haveli,Pune,Pune,MAHARASHTRA,412105,
SAFFRON LANDSCAPES,GUT NO 57/P,Beed Bypass,Satara,19.8502099051568,75.3187716875137,P51500008765,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431010,
United Courtyard Phase I,Plot no 11 Sr No 20/2/1-2 Village Taluka and District Nashik,SHRI RAVISHANKAR MARG,BEHIND INOX,19.9726496980976,73.8028914799927,P51600001925,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422006,
NAMAN GALAXY,"A BUILDING PHASE VII, SR NO 662/1,2 ,665",DALMANDAI ROAD,ADATE BAZAR,21.1822888,79.0729793,P52200007685,Ahmadnagar (M Corp.),Nagar,Ahmednagar,Nashik,MAHARASHTRA,414001,
ROYAL HEIGHTS,12,Not Available,Not Available,21.1822888,79.0729793,P50500012175,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440030,
SHRI GURU ANAND DHAM,"SURVEY NO 104/1, 104/1A",Not Available,Not Available,21.1822888,79.0729793,P50300014426,Revsa,Amravati,Amravati,Amravati,MAHARASHTRA,444801,
SHRI JAIDATT RESIDENCY,SECTOR NO 138P,138/P,Pisadevi,21.1822888,79.0729793,P51500004078,Pisadevi,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
GANPATI HEIGHT,"PLOT NO 11-A, 11-B 12-A / SURVEY NO 170-1A, 170/1, 177/3",MORSHI ROAD,MOUJE RAHATGAON,19.848934,75.3091483,P50300014548,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444604,
Rishika Park,Gat No. 1117 Plot no 1   6,Not Available,Not Available,19.848934,75.3091483,P49900001384,Chopda (M Cl),Chopda,Jalgaon,Nashik,MAHARASHTRA,425107,
SAFFRON LANDMARKS,GUT NO 57/P,Beed Bypass,Satara,19.851044963566,75.318994310862,P51500008763,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431010,
ASHOKA FORT,1/1,Not Available,Not Available,19.0147962,72.8454534,P51500004594,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
CONCEPT CITY,Plot No. A2,Not Available,Not Available,19.0147962,72.8454534,P50500010122,Gotal Panjari,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
MAI RESIDENCY,"PLOT NO 11-14/5, 10-14/3",NAZUL SHEET NO. 18A,MAUJE PETH AMRAVATI,19.0147962,72.8454534,P50300015999,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444601,
Parksyde Homes Phase 1,S NO 256 PART AND 257 PART,Not Available,Not Available,19.0147962,72.8454534,P51600002640,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422003,
VICTORIAN,138B-1/74PT,Not Available,Not Available,19.0147962,72.8454534,P51900003161,Mumbai City,Mumbai City,Mumbai City,Konkan,MAHARASHTRA,400014,
364 EWS T/S UNDER PMAY AT JALNA DIS JALNA,488/15,shiraswadi road,jalna,19.8297258859281,75.8631124666385,P51400012018,Jalna (M Cl),Jalna,Jalna,Aurangabad,MAHARASHTRA,431213,
SHREE BALAJI TOWER,107/9A1,Not Available,Not Available,19.967487,79.2938273,P50900006547,Chandrapur (M Cl),Chandrapur,Chandrapur,Nagpur,MAHARASHTRA,442401,
Royal Entrada Phase II,"S.No.138A/1,138A/2,138A/3,138A/4/1-5,139/2,139/3,139/5B,140/1,141/A/2",Hinjewadi Bhumkar Chowk Road,Wakad,18.600230327049,73.7480419747467,P52100000526,Wakad,Mulshi,Pune,Pune,MAHARASHTRA,411017,
JAI NILAYA BUILDING A,"PLOT NO 36, GUT NO. 18/1/2, SHAHNOORWADI",GADIYA VIHAR ROAD,SHAHNOORWADI,19.1720804,72.948255,P51500005563,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
PARIJATAK CO OP HSG SOC LTD,"1313/1 TO 1313/17,  1312",Not Available,Not Available,19.1720804,72.948255,P51800001974,Kurla,Kurla,Mumbai Suburban,Konkan,MAHARASHTRA,400080,
RAGHUKUNJ,PLOT NO 3/53,AMRAVATI,TARKHEDA,19.1720804,72.948255,P50300014871,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444601,
ULTRA OVATION,"SR 613/1B, FP NO. 86A, PLOT NO. 1,2,3",Not Available,Not Available,19.1720804,72.948255,P51600005527,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422001,
VIJAY SILICA,"PATWARI HALKA 16, THAK 132",Not Available,Not Available,19.1720804,72.948255,P50600007749,Bhandara (M Cl),Bhandara,Bhandara,Nagpur,MAHARASHTRA,441904,
ACE AUGUSTA,285/3/1A 285/3/1B  285/3/1C,"Next to Dohlar Industries, Hinjawadi IT Park Phase - II
","Near The Quardron Business Park, Maan Pune",18.5973002,73.6925236,P52100000080,Man,Mulshi,Pune,Pune,MAHARASHTRA,411057,
CHAITANYA PLAZA,PLOT NO 38 GUT NO 33PT,Not Available,Not Available,18.5973002,73.6925236,P51500002829,Golwadi,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
PLOT NO 803,PLOT NO 803 S NO. 76 AND 77,Not Available,Not Available,18.5973002,73.6925236,P50300014300,Nandgaon peth,Amravati,Amravati,Amravati,MAHARASHTRA,444901,
SHREE PARK,PLOT NO 2-3 SURVEY NO 167/1/1,Not Available,Not Available,18.5973002,73.6925236,P52200002195,Ahmadnagar (M Corp.),Nagar,Ahmednagar,Nashik,MAHARASHTRA,414005,
DEVKI ELITE,534,Not Available,Not Available,19.2313448,72.8635299,P50500007762,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440013,
PPRL Mera Ghar - Building E2,"125 to 134/1 of g. no. 284/1 plus 2,/1 plus 2/2 plus 2/3 plus 2/4 plus 2/5 plus 2/6 ",Not Available,Not Available,19.2313448,72.8635299,P49900001778,Jalgaon (M Corp.),Jalgaon,Jalgaon,Nashik,MAHARASHTRA,425001,
Sonaji Enterprise,"Nazul Sheet no 14 Plot no 3, 4",Anjangaon Road,WARD NO 1,19.2313448,72.8635299,P50300015008,Anjangaon (M Cl),Anjangaon Surji,Amravati,Amravati,MAHARASHTRA,444705,
TATVA,68/A/1,Dattapada Road,Borivali East,19.2313448,72.8635299,P51800004498,Borivali,Borivali,Mumbai Suburban,Konkan,MAHARASHTRA,400066,
GURUCHARAN RESIDENCY PHASE 1,GUT NO 167/2 HARSUL,Harsul Pisadevi Road,Harsul,21.1372529,79.058856,P51500005868,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
PETALS,218,CEMENT ROAD,SHIVAJI NAGAR,21.1372529,79.058856,P50500001914,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440010,
Parksyde Homes Phase 2A,SNO 256 PART AND 257 PART,Adgaon Naka,Hanuman Nagar,19.9974533,73.7898023,P51600009429,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422002,
ASTER,"KH NO 174/1, PLOT NO 40",Not Available,Not Available,21.2281997,79.0666241,P50500001906,Bokhara,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441111,
Prozone Trade Centre,P-80,Not Available,Not Available,21.2281997,79.0666241,P51500003693,Not Available,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431003,
Parksyde Homes Phase 2B,S NO 256 PART AND 257 PART,Adgaon Naka,Hanuman Nagar,19.9974533,73.7898023,P51600002975,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422002,
MAHALAXMI NAGAR 2,61,Not Available,Not Available,21.0166025,79.0298391,P50500003449,Jamtha,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
SUYOJIT VIRIDIAN VALLIS-PHASE 1-D1 SECTOR OTIO,"Out of Survey No 145/1, 145/3, 149/1 , 149/2, 151, 152, 155/2",Maharashtra,"Upper Savarkar Nagar, Gangapur Road, Nashik",20.024771014736,73.7603609632294,P51600003685,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422013,
MAHALAXMI NAGAR 2 - 293,293,Not Available,Not Available,21.0166025,79.0298391,P50500002993,Jamtha,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
YUDHAN HIGH RISE,CTS 15847/217 PLOT NO 2,Not Available,Not Available,21.0166025,79.0298391,P51500004283,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
KRISHNABAN Phase 1,Gut no 94,Aurangabad-Jalna Road,Jalna,19.8296893,75.8800305,P51400006388,Jalna (M Cl),Jalna,Jalna,Aurangabad,MAHARASHTRA,431203,
Parksyde Homes Phase4A,S NO 256 PART AND 257 PART,Adgaon Naka,Hanuman Nagar,19.9974533,73.7898023,P51600003077,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422002,
DATERAO RESIDENCY,"SURVEY NO 42/1, PLOT NO 1",Amravati,Amravati,21.1731258,79.0896089,P50300014672,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444607,
GOVINDAM APARTMENTS,"Survey No. 50, Sheet No. 11, Plot No. 839, 839/A",Mangalwari Road,Kadbi chowk,21.1731258,79.0896089,P50500008210,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440004,
Aurum estate phase 2 AURENE,sr no 52/A 1 to 12 plus 21 to 37 plus 40 to 42A ,Not Available,Not Available,19.2072366,72.8348221,P51600003829,Aanandwali,Nashik,Nashik,Nashik,MAHARASHTRA,422013,
Majestique Venice,S No 48 Hissa No 1 to 16 Plot No 7,Dhayari ,Dhayari Pune,19.2072366,72.8348221,P52100000130,Dhayari (Part),Haveli,Pune,Pune,MAHARASHTRA,411041,
PLOT NO 3 CHARKOP SECTOR 8,3/A/1,Not Available,Not Available,19.2072366,72.8348221,P51800000017,Borivali,Borivali,Mumbai Suburban,Konkan,MAHARASHTRA,400067,
YADUVEER RESIDENCY,OLD SURVEY NO 33/2 33/3 NEW SURVEY NO 230 PLOT NO 36,KRIDA SANKUL ROAD,BULDANA,19.2072366,72.8348221,P50000014666,buldana (MCL),Buldana,Buldana,Amravati,MAHARASHTRA,443001,
Anmol Nayantara City Two phase 1,777 3/3  777 3/4 part,Govind nagar link road,Karmayogi nagar,19.984879746407,73.7725264885467,P51600001967,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422002,
SHRINATH PARK,GUT NO 99 P AND 100 P,Not Available,Not Available,21.1372529,79.058856,P51500006059,Pisadevi,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
WEST COURT,99 / 649,Not Available,Not Available,21.1372529,79.058856,P50500005895,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440010,
SHAKUNTALA PARK,"GUT NO. 31, PART",Not Available,Not Available,21.1372529,79.058856,P51500002908,Pisadevi,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431008,
TIRUPATI ENCLAVE,298A/191/51/298A,Not Available,Not Available,21.1372529,79.058856,P50500007836,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440010,
ACHRAJ RIVIERA,1-A/ 461,Not Available,Not Available,21.1822888,79.0729793,P50500007301,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440030,
GARDEN CITY,"SURVEY NO. 128/2, PLOT NO. 1",Not Available,Not Available,21.1822888,79.0729793,P50300014417,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444607,
GURUMAULI RESIDENCY,"S.NO.53/1/2, PLOT 12,13,14",Not Available,Not Available,21.1822888,79.0729793,P51600006854,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422002,
OM PLATINA,GUT 176 SATARA PARISAR,Not Available,Not Available,18.4401775,73.8627915,P51500007102,Satara (CT),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431010,
PIONEER ORION,"PLOT 1 TO 5, 7 TO 22, 75,76,83 TO 86, 92, 94 TO 97, 100 CTS 170 KH NO 34/1 AND 34/4",Not Available,Not Available,18.4401775,73.8627915,P50500006602,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440022,
SILVER OAK PH -II,"SRNO 29/8,29/7/1,29/7/2",Not Available,Not Available,18.4401775,73.8627915,P52100000219,Katraj,Haveli,Pune,Pune,MAHARASHTRA,411046,
SUYOJIT VIRIDIAN VALLIS-PHASE 1  F AND G SECTOR VIRENS,"Out of Survey No 145/1, 145/3, 149/1 , 149/2, 151, 152, 155/2",GANGAPUR ROAD,"Suyojit Viridian Vallis, Upper Savarkar Nagar, Adjoining to Goda Park, Off Gangapur Road, Nashik",20.0246954130627,73.7625335525314,P51600003674,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422013,
Parksyde Homes Phase 4B,S NO 256 PART AND 257 PART,Adgaon Naka,Hanuman Nagar,19.9974533,73.7898023,P51600004804,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422002,
GOVINDA CITY - 1,SURVEY NO 13/1,Not Available,Not Available,21.1028803,79.0277774,P50300014421,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444601,
ORBITAL WORLD,163 AND 169/1,Not Available,Not Available,21.1028803,79.0277774,P50500003246,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440036,
RAGA ALTIS Phase II,GUT NO 66 67,Not Available,Not Available,21.1028803,79.0277774,P51500006535,Aurangabad (CB),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
TEJAL SRUSHTI G BUILDING,GUT NO 03,Not Available,Not Available,21.1028803,79.0277774,P51500009069,Aurangabad (CB),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431008,
VIDARBHA PREMIER SAHANIWAS JAITALA.NAGPUR,1 TO 19,JAITALA,JAITALA,21.1028803,79.0277774,P50500011968,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440036,
Aditya Enclave,Plot No 11/Survey No 102,Not Available,Not Available,19.967487,79.2938273,P50900006450,Chandrapur (M Cl),Chandrapur,Chandrapur,Nagpur,MAHARASHTRA,442401,
HARI SAMARTH,"4A/1C/1A,1B,1D,1E",Not Available,Not Available,19.967487,79.2938273,P51600002003,CHEHEDI BK,Nashik,Nashik,Nashik,MAHARASHTRA,422101,
Vishwakarma Layout,49/1/2 Pt,Not Available,Not Available,19.967487,79.2938273,P51100008307,Nanded Waghala (M Corp.),Nanded,Nanded,Aurangabad,MAHARASHTRA,431603,
EPITOME PHASE I,129,Kalakhadak,Near Bhumkar Chowk,18.6051299826408,73.756631387133,P52100000703,Wakad,Mulshi,Pune,Pune,MAHARASHTRA,411057,
Samraat Symphony Project 02,"Plot No 84 Survey No 899/1, 899/2/1, 899/3/1/84",Nashik,Nashik,18.6066628,73.7524673,P51600002742,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422009,
VARAD RESIDENCY,Plot No 12 and 13 Gu No 42p,Not Available,Not Available,18.6066628,73.7524673,P51500012176,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
MAHALAXMI EMPIRE,33,RAHATGAON RING ROAD,MAHALAXMI NAGAR,20.9319821,77.7523039,P50300014755,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444604,
Aurum Estate Phase 3 Augustus ,52/A/ 1 to 12 plus 21 to 37 plus 40 to 42A,Not Available,Not Available,19.8745902,75.3086615,P51600003470,Aanandwali,Nashik,Nashik,Nashik,MAHARASHTRA,422013,
Omkara Heights,4874,Not Available,Not Available,19.8745902,75.3086615,P51500012038,Aurangabad (CB),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
INSTYLE RESIDENCY ,SURVEY NO. 53/4,Solapur,Solapur,17.6917278,75.8824765,P52600001808,Solapur (M Corp.),Solapur North,Solapur,Pune,MAHARASHTRA,413002,
Yogeshwar Residency,322A P 290A P 325 P,TAPOVAN,TAPOVAN,20.0023480209073,73.8080413213013,P51600003104,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422003,
KALYANI SAI ENCLAVE,192/5,Not Available,Not Available,19.8787869,75.365128,P51500012465,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431003,
LONI CENTRAL,508/48/3,Not Available,Not Available,19.8787869,75.365128,P52200002916,Loni Bk.,Rahta,Ahmednagar,Nashik,MAHARASHTRA,413736,
SHRIHARI RESIDENCY,15/54-56,DESHMUKH WADI,NEAR LIONS CONVENT,19.8787869,75.365128,P51000014550,Not Available,Wani,Yavatmal,Amravati,MAHARASHTRA,445304,
SUYOJIT VIRIDIAN VALLIS-PHASE 1-D3 OTIO,"Out of Survey No 145/1, 145/3, 149/1 , 149/2, 151, 152, 155/2",Maharashtra,"Upper Savarkar Nagar, Gangapur Road, Nashik",20.0250205,73.7601142,P51600005174,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422013,
Fortune Heights,"64,65,66",Not Available,Not Available,21.0995693,79.0673302,P50500003586,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440025,
MAZA GHAR,PLOT NO 33 SURVEY NO. 15,GAJANAN MAHARAJ MANDIR,SAI NAGAR,21.0995693,79.0673302,P50300014587,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444606,
Durga Residency,Plot No 20/Survey No 7,Kaloti Nagar,Devi Dhanashri Colony,18.1485264,73.9775047,P50300014598,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444607,
PRAKRUTI TOWERS,"GAT NO 326/1/2, 326/1/2/1, 326/1/2/2",Not Available,Not Available,18.1485264,73.9775047,P52700003997,Shirwal,Khandala,Satara,Pune,MAHARASHTRA,412801,
YASHRAJ TOWER,GUT NO 167 P 168 P 169P 211 PP,Not Available,Not Available,18.1485264,73.9775047,P51500005659,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431003,
SHREEVISHWA,841 1A 841 1B 841 2 PLOT NO 29,NASHIK PUNE ROAD,BODHALE NAGAR,18.1485264,73.9775047000001,P51600008780,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422011,
AATREYA REGENCY,1/1/A,Not Available,Not Available,21.0936785,78.9768999,P50500003312,Wanadongri (CT),Hingna,Nagpur,Nagpur,MAHARASHTRA,441110,
Ambrossia ,269-14/1 15 16/1/2/3,Not Available,Not Available,21.0936785,78.9768999,P52200006591,Ghulewadi (CT),Sangamner,Ahmednagar,Nashik,MAHARASHTRA,422608,
AMPLE AMULYAM,194,Not Available,Not Available,21.0936785,78.9768999,P51500010276,Shendra Kamangar,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431201,
MAHALAXMI APPARTMENT,PLOT 2/3/23,DESHMUKH WADI,NEAR DR MUNJE,21.0936785,78.9768999,P51000015251,Wani (M Cl),Wani,Yavatmal,Amravati,MAHARASHTRA,445304,
GLOCAL SQUARE GROUND AND FIRST FLOOR..,"CTS Nos 3118, 3120, 3121 and 3124, BUTY MAHAL , Khasra Nos. 315 P and 320 Ward No.3,Sitabuldi Nagpur",Abhyankar Road,SITABURDI,21.1425949,79.0823664,P50500011388,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440012,
KUNAL RESIDENCY,"P NO. 20 AND 21, S NO. 229, 234/1A, 302/2-4-5",Mhasrul,Mhasrul,21.144414,79.084353,P51600003606,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422004,
"Lalbag, Plotting",Survey No 209,Not Available,Not Available,19.967487,79.2938273,P51400005523,Jalna (M Cl),Jalna,Jalna,Aurangabad,MAHARASHTRA,431203,
Mrunalini,2817,Not Available,Not Available,19.967487,79.2938273,P50900006276,Chandrapur (M Cl),Chandrapur,Chandrapur,Nagpur,MAHARASHTRA,442401,
Center park residency,"CTS No. 15566, 15539, 18318",Not Available,Not Available,21.1372529,79.058856,P51100003870,Nanded Waghala (M Corp.),Nanded,Nanded,Aurangabad,MAHARASHTRA,431601,
Dhanwantari Heights,5-6/50,Not Available,Not Available,21.1372529,79.058856,P50500006079,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440010,
JAI AMBA APARTMENT 15,"SURVEY NO 49/2 PLOT NO 33, 34",KATHORA ROAD,ANANDWADI,21.1372529,79.058856,P50300014702,Nandgaon peth,Amravati,Amravati,Amravati,MAHARASHTRA,444604,
ARKK PUSHP,SURVEY NO 56/1,Not Available,Not Available,18.5006101,73.7573991,P51600005140,Bhagur Rural,Nashik,Nashik,Nashik,MAHARASHTRA,422502,
GOKULDHAM APARTMENT,PLOT NO 21 GUT NO 24 BIRDI CHANDNAGAR ITKHEDA AURANGABAD,Not Available,Not Available,18.5006101,73.7573991,P51500004601,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
PANCHAVATI,"PLOT NO 26/1 WESTERN SIDE, CITY SURVEY 1185/1 SHEET NO 58-A MOUZA LENDRA",Wardha Road,Dhantoli,18.5006101,73.7573991,P50500008306,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440012,
Forest Trails Athashri - B2,"Sector No.R-26, Survey No. 16/1 and others, Matalwadi Road",paud road,Bhugaon,18.5109443329373,73.7339923648209,P52100000029,Bhugaon,Mulshi,Pune,Pune,MAHARASHTRA,412115,
green vally,26A 26B 41A 41B,RAILWAY STATION ROAD,SAI NAGAR,19.9905645,79.262297,P50300014652,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444607,
JOSA RESIDENCY II,PLOT NO.79/1 CTS NO.6692,Not Available,Not Available,19.9905645,79.262297,P50900005299,Chandrapur (M Cl),Chandrapur,Chandrapur,Nagpur,MAHARASHTRA,442402,
Samarth Blossom,S NO 9/1/4+9/2/1 PLOT NO 9 AND 10,Not Available,Not Available,19.9905645,79.262297,P51600007810,Aanandwali,Nashik,Nashik,Nashik,MAHARASHTRA,422013,
YASHWIN HINJAWADI,"Survey number 286/4/1/A 286/4/1/B 286/4/1/C 286/4/1/D Old Survey Number 286/4, 286/5, 286/6",HINJAWADI,HINJAWADI,18.5973002,73.6925236,P52100000037,Man,Mulshi,Pune,Pune,MAHARASHTRA,411057,
ARIHANT PARK PHASE -3,GAT.NO.290/2B PL.NO.-5,Not Available,Not Available,18.5973002,73.6925236,P52200003497,Supa,Parner,Ahmednagar,Nashik,MAHARASHTRA,414301,
DEVIS PLATINUM,"P NO.48A,48B,49A,49B,50,51,52A,52B,53A",BADNERA ROAD,SAI NAGAR SATURNA,18.5973002,73.6925236,P50300015308,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444601,
MORAYA PARK,GUT NO. 210/3,Not Available,Not Available,19.8761653,75.3433139,P51500003191,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431008,
R M Dhariwal Greens Yavatmal Phase - 3,"Plot No - 1 , S No - 30/1,30/2,30/3,30/4/2",Dhamangaon Road Bye - Pass ,Yavatmal,20.4093019961817,78.1436120163941,P51000015553,Yavatmal (M Cl),Yavatmal,Yavatmal,Amravati,MAHARASHTRA,445001,
MAHALAXMI APARTMENT,49/4/A/1 49/4/A/2,Not Available,Not Available,18.605837,73.909996,P50400011039,Wardha (M Cl),Wardha,Wardha,Nagpur,MAHARASHTRA,442001,
Skyways Sereno,Survey No 297/1,Not Available,Not Available,18.605837,73.909996,P52100002552,LOHGAON,Haveli,Pune,Pune,MAHARASHTRA,411047,
Tulsi Green,Gut No 48 P,Golwadi,Golwadi,18.605837,73.909996,P51500006051,Golwadi,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
Construction of 268 EWS 20 MIG and 16 HIG T/s under PMAY at Buldhana,"52/1,53/2,3,4,5",Malkapur Road,Behind ARD Mall,20.546619,76.174794,P50000015153,buldana (MCL),Buldana,Buldana,Amravati,MAHARASHTRA,443001,
42 COPPER STONE,GUT NO 177 POT NO 17,Not Available,Not Available,18.5335989,73.8304269,P51500003102,Shendra Kamangar,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431007,
YAMUNA NIWAS,"FP NO- 56 5, CTS NO- 40 5, BHONDE COLONY, ERANDWANE, PUNE",Not Available,Not Available,18.5335989,73.8304269,P52100000729,Pune (M Corp.),Pune City,Pune,Pune,MAHARASHTRA,411004,
AGRIYA ARYASHRI,GUT NO 11/P PLOT NO 38 39,Not Available,Not Available,18.4537524,73.9013633,P51500005788,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
RIVA,SR NO 43 /3,MAHARTASHTRA,PISOLI,18.4537524,73.9013633,P52100004157,Pisoli,Haveli,Pune,Pune,MAHARASHTRA,411060,
ISHWARY COLONY,SURVEY34/1,AKOLI ROAD,AKOLI,19.867853,75.4665158,P50300015082,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444607,
SIMPLICITY G BUILDING,Part Gut No 14,Not Available,Not Available,19.867853,75.4665158,P51500005615,Fattepur,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431007,
TAJ TAHZEEB,PLOT NO 41 TO 43 S NO 512 WADALA NASHIK,WADALA,NASHIK,19.867853,75.4665158,P51600005531,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422003,
AANGAN,159/3,IYE-VAZRE ROAD,VAZRE VILLAGE,15.6484268,74.0006328,P52900015873,Vazare,Dodamarg,Sindhudurg,Konkan,MAHARASHTRA,416512,
RATHI PLANET,GUT NO 735 PART,Not Available,Not Available,15.6484268,74.0006328,P51500003407,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
SEYA,S NO 120A 120B F P NO 545 P NO 18,NEAR NAVSHA MARUTI,SINHAGAD ROAD,15.6484268,74.0006328,P52100001129,Parvati,Haveli,Pune,Pune,MAHARASHTRA,411009,
DISHA SILVERWOODS BUILDING B2-B3,PLOT NO 2 GUT NO 175A HARSUL T POINT,Harsool T Point,Harsool,19.8902634,75.323544,P51500003485,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
LAXMI RESIDENCY SATURNA,PLOT NO 20 SURVEY NO 6/2 SATURNA,SATURNA DP ROAD,SATURNA,19.8902634,75.323544,P50300014886,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444605,
Prabhu Fort,SR NO 21/1/A,SHRI SHRI RAVISHANKAR MARG,DGP NAGAR,19.8902634,75.323544,P51600007154,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422006,
KARMAA GALAXY,"400/5/1,2,6,7,8",Not Available,Not Available,21.0333937,78.954279,P51600003024,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422011,
MORYA RESIDENCY,140 P,CIDCO WALUJ,NEAR CIDCO WATER TANK,21.0333937,78.954279,P51500004439,Tisgaon,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431136,
