projectName,plotBearing,street,locality,lat,lon,CertificateNo,project_Village,project_Taluka,project_District,project_Division,project_State,pincode,
PRATIKSHA,"CTSNO. 284/HA, KHASRA NO.131,133,134/1, MOUZA NARI, SUGAT NAGAR, NAGPPUR-440014",MOUZA NARI,SUGAT NAGAR,17.8317572,73.7330753,P50500012077,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440014,
PARAG COMPLEX PHASE 1,PLOT NO 3 AND 4 MOUJA MAHSLA S NO 25/3 AND 25/4,MARDI ROAD,NEAR SANT GADGE BABA AMRAVATI UNIVERSITY,20.9417001546583,77.7927791399002,P50300023712,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444602,
RAGHUNANDAN APPARTMENT,"49/3A, 49/3B",Not Available,Not Available,19.8389879,75.2471195,P51600007090,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422013,
SAI REGENCY,GUT NO 15,Not Available,Not Available,19.8389879,75.2471195,P51500010121,Wadgaon Kolhati (CT),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431136,
Shankeshwar Crimson,GAT No 524 P,Jadhavwadi,Chikhali,18.5204303,73.8567436999999,P52100000087,Pimpri Chinchawad (M Corp.),Haveli,Pune,Pune,MAHARASHTRA,412114,
Le Regalia Phase III BLDG G AND H,CTS NO 4469/3/4/5/6,Not Available,Not Available,18.6831112,73.7977928,P51600012946,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422010,
Shamit Octozone Sunder Heritage,Gut No 45,Not Available,Not Available,18.6831112,73.7977928,P51500010697,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
SHREE HEIGHTS,101/280/3,Not Available,Not Available,18.6831112,73.7977928,P50900012482,Brahmapuri (M Cl),Brahmapuri,Chandrapur,Nagpur,MAHARASHTRA,441206,
D L INFRA,"48,51",Not Available,Not Available,19.1678399,77.3266991,P51100013123,Nanded Waghala (M Corp.),Nanded,Nanded,Aurangabad,MAHARASHTRA,431601,
PRABHU RAM RESIDENCY,71/1A,Not Available,Not Available,21.0977049,79.1294516,P49900008914,Bhusawal (CT),Bhusawal,Jalgaon,Nashik,MAHARASHTRA,425201,
SHREE BHAGWATI,"S NO 28,2 PLOT 1,10",Not Available,Not Available,21.0977049,79.1294516,P52500010135,Osmanabad,Osmanabad,Osmanabad,Aurangabad,MAHARASHTRA,413501,
VENU ENCLAVE,PLOT NO 6 AND 7,Not Available,Not Available,21.0977049,79.1294516,P50500010162,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440034,
Madhuvan Residency,482/2/3/3A,Not Available,Not Available,18.5817469,73.9817056,P51600004865,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422011,
SAMBHAJI RESIDENCY,PLOT NO 6,Not Available,Not Available,18.5817469,73.9817056,P51500011831,Bidkin,Paithan,Aurangabad,Aurangabad,MAHARASHTRA,431105,
UTSAV RESIDENCY,1127,Not Available,Not Available,18.5817469,73.9817056,P52100006886,WAGHOLI,Haveli,Pune,Pune,MAHARASHTRA,412207,
"Vastuvishwa Apartments, Bapatwadi","Plot No 5,6",Not Available,Not Available,18.5817469,73.9817056,P50400012080,Wardha (M Cl),Wardha,Wardha,Nagpur,MAHARASHTRA,442001,
Capitol Homes,68/1,Not Available,Not Available,18.7552105,73.4445392,P50500007267,Bokhara,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441111,
GURUPUSHPA,"PLOT NO 3 TO 10 , GUT NO 33,34",Not Available,Not Available,18.7552105,73.4445392,P51500011270,Hirapur,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431007,
HAREKRISHNA RESIDENCY,GAT NO 123 PLOT NO 39/1 TO 39/18,Not Available,Not Available,18.7552105,73.4445392,P49900010955,Pungaon,Pachora,Jalgaon,Nashik,MAHARASHTRA,424201,
DISCOVERY PHASE - III,"105/1 2B, 104",DELLA ADVENTURE ROAD,"KUNENAMA, KUNEGAON",18.7786917277917,73.3829610454361,P52100012273,Kune N.m.,Mawal,Pune,Pune,MAHARASHTRA,410401,
SHRI CHATRAPATI SHIVAJI MAHARAJ VYAPARI SANKOOL,CTS NO 3285/B,Not Available,Not Available,18.5035327,73.7615386,P49800009159,Dhule (M Corp.),Dhule,Dhule,Nashik,MAHARASHTRA,424001,
VAMANANAD,"PLOT NO 6, GUT NO 90 / 1, SATARA",Not Available,Not Available,18.5035327,73.7615386,P51500012582,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
"Azure - A,C,D,E and F","Survey No.84/1B, 84/2B, 84/3B, 84/4",Bhumkar Chowk Road,Tathwade,18.6126944305983,73.7514564232788,P52100000241,Tathwade,Mulshi,Pune,Pune,MAHARASHTRA,411033,
AMRAPALI RESIDENCY,Sr.no 22/1/C Plot No 53,Kamatwada Road ,Kamatwada,21.1800599,79.0520924,P51600005577,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422010,
DATTA MEHER HEIGHTS,GUT NO 03,Not Available,Not Available,21.1800599,79.0520924,P51500011949,Pisadevi,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431008,
SRUSHTI PRIME,P.H.NO 3 KHASRA NO. 177/1,Not Available,Not Available,21.1800599,79.0520924,P50500011472,Borgaon Khu.,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
Adhya Radha Krishna,119120121122,Not Available,Not Available,18.6239079,73.8124984,P52100001891,Pimpri Chinchawad (M Corp.),Haveli,Pune,Pune,MAHARASHTRA,412105,
GEETA HEIGHTS,311/43,Not Available,Not Available,18.6239079,73.8124984,P51600011008,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422010,
VAIBHAV HEIGHTS,X-293,Not Available,Not Available,18.6239079,73.8124984,P50500003832,Butibori,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441122,
Chandrabhaga Apartment,Plot No 1 and 2,Not Available,Not Available,19.1007377,72.8484952,P51500013949,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
MAHALAXMI NAGAR 3,05 PART,Not Available,Not Available,19.1007377,72.8484952,P50500011579,Gumgaon,Hingna,Nagpur,Nagpur,MAHARASHTRA,441122,
Sairah ,724/12 of Village Vile Parle East,M V PANDLOASKAR MARG,VILE PARLE EAST,19.1007377,72.8484952,P51800005677,Andheri,Andheri,Mumbai Suburban,Konkan,MAHARASHTRA,400057,
Anita Apartment,Plot No 42 Gut no 36/3/1,Not Available,Not Available,18.5035327,73.7615386,P51500013489,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
HARI LAXMI PHASE III,S No 42/3/1 and S No 43/3/1,Vihitgaon,Vihitgaon,18.5035327,73.7615386,P51600003727,VIHITGAON,Nashik,Nashik,Nashik,MAHARASHTRA,422101,
Heritage,"166/8 , 9",Not Available,Not Available,18.5035327,73.7615386,P52100001845,Wakad,Mulshi,Pune,Pune,MAHARASHTRA,411047,
VAIBHAV HEIGHTS II,P- 67,Not Available,Not Available,18.5035327,73.7615386,P50500004136,Butibori,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441122,
SHRAVANAM RESIDENCY,S NO 35- 6 PLOT NO D3 AND D4,Not Available,Not Available,18.4865807,73.8501103,P51600009252,Aanandwali,Nashik,Nashik,Nashik,MAHARASHTRA,422013,
Sourabh Co-op Hsg.Soc-Redevelopment,477 B/1b Shahu College Road Parvati Pune-09,Not Available,Not Available,18.4865807,73.8501103,P52100004684,Pune (M Corp.),Pune City,Pune,Pune,MAHARASHTRA,411009,
VEDANT RESIDENCY,10/39A/10,VIRWMANRAO CHOWK PATANKAR GALLY ,TILAKWADI,20.6981,79.1492,P51000024504,Yavatmal (M Cl),Yavatmal,Yavatmal,Amravati,MAHARASHTRA,445001,
Millennium Residency,Kh. No. 120/2,Not Available,Not Available,21.2040321,78.9884964,P50500009893,Fetari,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441501,
Mirage,survey no 35 plot no 3,Not Available,Not Available,21.2040321,78.9884964,P51600008731,Aanandwali,Nashik,Nashik,Nashik,MAHARASHTRA,422013,
PARMAR NAKSHTRA,GUT NO 117 AND 1 PLOT NO 28 TO 33,Not Available,Not Available,21.2040321,78.9884964,P51500012797,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
Ace Residency,"1159/B/3/1, Plot No. 14",Not Available,Not Available,16.689306,74.1768412,P53000000422,Kolhapur (M Corp.),Karvir,Kolhapur,Pune,MAHARASHTRA,416010,
MADHUR HEIGHTS,PLOT NO 13,Not Available,Not Available,16.689306,74.1768412,P50500008822,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440030,
GAJANAN VIHAR,PLOT NO 24 AND 25 GUT NO 26 ITKHEDA,Not Available,Not Available,21.1372529,79.058856,P51500011242,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
SHREE GANESH GANGA,PLOT NO.139,Not Available,Not Available,21.1372529,79.058856,P50500011125,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440010,
Sukruti Elite,Plot No 4 Sr no 726/1/C,Not Available,Not Available,21.1372529,79.058856,P51600010612,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422005,
LAYOUT,KHASRA NO 157,Not Available,Not Available,19.2392834,72.9873924,P50500007937,Sukali(gupchup),Hingna,Nagpur,Nagpur,MAHARASHTRA,441110,
PRESTIGE GOLD,S NO 36/1/1 AND 37/3B/2,Not Available,Not Available,19.2392834,72.9873924,P52100001263,Mundhawa,Haveli,Pune,Pune,MAHARASHTRA,411036,
LODHA SPLENDORA - PLATINO - B,4/6/2,.,.,19.2844784,72.95502,P51700000258,Thane (M Corp.),Thane,Thane,Konkan,MAHARASHTRA,400607,
CANAL HEIGHTS,95,Not Available,Not Available,19.1660696,72.9645628,P50500006199,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440010,
SWARAJ ARCADE,5/10 5/12,Not Available,Not Available,19.1660696,72.9645628,P52100005844,AMBEGAON KH,Haveli,Pune,Pune,MAHARASHTRA,411046,
VIJAYPRIDE,7/1APART 101,Not Available,Not Available,19.1660696,72.9645628,P51600012211,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422003,
Construction of 406 TR TS 442 EWS 258 MIG TS at Gavanpada Mulund east Mumbai,145,Veer savarkar road,Gavanpada,19.1660696,72.9645628000001,P51800000024,Kurla,Kurla,Mumbai Suburban,Konkan,MAHARASHTRA,400081,
GAJANAN KRUPA,"plot no- 5,6,45D S no- 83/1/5 , 83/1/6 , 45",Not Available,Not Available,18.6103179,73.7889689,P51600005519,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422001,
GURU SAKSHI KUTIR,PLOT NO 3 GUT NO 154,Not Available,Not Available,18.6103179,73.7889689,P51500013385,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
KAKA HOMES,S NO 70 1 ,Rahatni road,Tapkir Mala,18.6103179,73.7889689,P52100000900,Pimpri Chinchawad (M Corp.),Haveli,Pune,Pune,MAHARASHTRA,411017,
Sandesh City Apartment 1,"Kh No167/2,168 Mouza Jamtha",Not Available,Not Available,18.6103179,73.7889689,P50500006822,Jamtha,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441122,
HANUMAN NAGAR,"GUT NO 573 , MOUZE PHULABMRI",Not Available,Not Available,18.5392208,73.9062611,P51500012695,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431111,
Windermere Phase 1,331,North Main Road,Koregaon Park,18.5393072626266,73.8956985608993,P52100003865,KOREGAON PARK,Haveli,Pune,Pune,MAHARASHTRA,411001,
Le Regalia Phase II BLDG E AND F,CTS NO 4469/3/4/5/6,MAHARASHTRA,NASHIK,19.9714316,73.7183033,P51600007163,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422010,
KANAKIA MIAMI,F.P. NO. 766 TPS MAHIM NO. III,Not Available,Not Available,19.0389455,72.8420546,P51900000206,GNorth-400016,Ward GNorth,Mumbai City,Konkan,MAHARASHTRA,400016,
LOTUS RESIDENCY,PLOT NO 2 3 4 5 6 9 10 11 12 13 KH NO 115,Not Available,Not Available,19.0389455,72.8420546,P50500012602,Butibori,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441122,
SHREE GANESH APPARTMENT,CTSR NO 371-379-380-381-382-383-384-385-387,Not Available,Not Available,19.0389455,72.8420546,P51600004060,Janori,Dindori,Nashik,Nashik,MAHARASHTRA,422206,
Sai Gajanan Towers,14/11/2,Main Road,Opp. Manik Stores,21.2916,76.8261,P50000025263,Shegaon (M Cl),Shegaon,Buldana,Amravati,MAHARASHTRA,444203,
