Project Name,Promoter Name,Last Modified Date,Certificate,Certificate Date,Do you have any Past Experience ?,Pin Code,Office Number,Website URL,Project Status,Proposed Date of Completion,Revised Proposed Date of Completion,Litigations related to the project ?,Project Type,Are there any Co-Promoters (as defined by MahaRERA Order) in the project ?,Division,District,Taluka,Village,Pin Code,Area(In sqmts),Total Building Count,Aggregate area(In sqmts) of recreational open space,Built-up-Area as per Proposed FSI (In sqmts),Built-up-Area as per Approved FSI (In sqmts),TotalFSI,Bank Name,IFSC Code,Community Buildings Available,Community Buildings Percent,Number of Slab of Super Structure,Number of Open Parking,Number of Closed Parking,Carpet Area (in Sqmts),Excavation,X number of Slabs of Super Structure,"Installation of lifts, water pumps, Fire Fighting Fittings and Equipment as per CFO NOC, Electrical fittings to Common Areas, electro, mechanical equipment, Compliance to conditions of environment /CRZ NOC, Finishing to entrance lobby/s, plinth protection, paving of areas appurtenant to Building/Wing, Compound Wall and all other requirements as may be required to Obtain Occupation /Completion Certificate",Number of Apartment,Number of Booked Apartment,NOA(0-30),NOBA(0-30),NOA(31-45),NOBA(31-45),NOA(46-60),NOBA(46-60),NOA(61-90),NOBA(61-90),NOA(91-120),NOBA(91-120),NOA(121-150),NOBA(121-150),NOA(151-200),NOBA(151-200),NOA(>200),NOBA(>200),1RK,B1RK,1BHK,B1BHK,2BHK,B2BHK,3BHK,B3BHK,4BHK,B4BHK,5BHK & MORE,B5BHK & MORE,SHOP,BSHOP,BUNGLOW,BBUNGLOW,OFFICE,BOFFICE,OTHERS,BOTHERS,FORM 4,CONVEYANCE
PRAMUKH SADAN,SAHAJANAND DEVELOPERS,03/04/2020,P51700000743,23/07/2017,No,421501,2512603761,,On-Going Project,31/03/2019,31/03/2019,No,Others,No,Konkan,Thane,Ambarnath,Ambarnath(M Cl),421501,8517,4,851.7,4209.31,0,4209.31,IDBI BANK,IBKL0000457,YES,50,8,0,0,3573.35,100,30,,136,126,98,108,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,YES,NO
Plan S Business Park,M/s. Vishwa Green Realtors Private Limited,15/11/2022,P51700002027,31/07/2017,Yes,400706,2227888123,www.vishwagreenrealtors.com,On-Going Project,31/12/2023,30/12/2024,No,Others,No,Konkan,Thane,Thane,Navi Mumbai (M Corp.),400706,3300,1,0,9802,98,9900,Punjab National Bank,PUNB0350200,NO,0,34,0,192,7434.62,80,47,,234,192,179,210,6,8,6,8,0,0,1,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,YES,NO
GNP GALLERIA,Ganadhish GNP,26/04/2023,P51700004200,08/08/2017,No,400701,2227780906,,On-Going Project,31/01/2021,30/01/2022,No,Commercial,Yes,Konkan,Thane,Kalyan,DOMBIVLI,421201,2500,1,250,3717.26,0,3717.26,PUNJAB NATIONAL BANK,PUNB0662700,NO,0,5,0,19,2751.4,100,100,,74,58,30,33,22,34,3,3,1,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,74,58,0,0,0,0,0,0,YES,NO
VARSHA MEADOWS,JAYESH BUILDCON,16/10/2023,P51700005257,11/08/2017,No,421301,2512206050,,New Project,28/05/2021,,No,Residential,No,Konkan,Thane,Kalyan,Kalyan-Dombivali (M Corp.),421306,1100,2,0,2693,0,2693,INDIAN OVERSEAS BANK,IOBA0001927,NO,0,8,0,12,1928.28,100,85,,56,17,0,0,17,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,15,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
UNNATHI WOODS PHASE VII A,UNNATHI ESTATES,07/01/2022,P51700000002,09/05/2017,Yes,400002,2221737001,www.raunakgroup.com,On-Going Project,31/12/2024,30/12/2025,Yes,Residential,No,Konkan,Thane,Thane,Thane (M Corp.),400615,3425,2,2808.87,7965.49,17698.2,25663.69,HDFC Bank Ltd,HDFC0000488,YES,100,14,16,15,7485.58,100,100,,234,230,0,0,230,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
KESHAV KUNJ IV,ASHA DEVELOPERS,22/06/2023,P51700000624,11/09/2017,No,400705,2227824335,,On-Going Project,17/12/2009,22/07/2018,Yes,Others,No,Konkan,Thane,Thane,Navi Mumbai (M Corp.),400706,11482.77,5,0,17223.84,0,17223.84,DHANLAXMI BANK LTD,DLXB0000199,NO,0,23,43,1,19861.96,100,100,,438,60,0,284,0,44,0,0,41,56,19,29,0,11,0,12,0,2,281,0,44,0,54,39,30,21,11,0,12,0,0,0,0,0,0,0,287,0,YES,NO
N G Silver Spring,RNA Builders (NG),07/06/2023,P51700000009,23/05/2017,Yes,400023,2266236300,www.rnaexperience.com,On-Going Project,15/12/2018,15/12/2018,No,Residential,No,Konkan,Thane,Thane,Mira-Bhayandar (M Corp.),401107,11051,2,1657,6619.01,8784,15403.01,Kotak Mahindra Bank,KKBK0001403,NO,0,14,8,1,497853.68,100,100,,122,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,49,YES,NO
SOLITAIRE INDUSTRIAL ESTATE,Shelter Construction,15/12/2018,P51700007963,18/08/2017,No,421201,2227780906,,On-Going Project,31/03/2018,31/12/2018,No,Industrial,Yes,Konkan,Thane,Kalyan,Kalyan-Dombivali (M Corp.),421201,2116,1,0,3165.33,0,3165.33,PUNJAB NATIONAL BANK,PUNB0662700,NO,0,4,24,0,2783.33,100,100,,48,46,2,2,15,15,3,3,26,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,46,YES,NO
TULSI AAHAN,RAJ GROUP,19/03/2020,P51700000064,22/06/2017,Yes,421503,2227585000,,New Project,31/12/2019,,No,Others,No,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,13000,7,1300,16376.27,0,16376.27,DCB Bank,DCBL0000030,NO,0,8,0,27,13035.48,85.7142857142857,85.7142857142857,,449,71,43,329,28,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,37,84,23,0,0,0,0,0,0,0,0,0,0,0,0,449,71,YES,NO
OSTWAL ORCHID BUILDING NO. 9 TO 12,ASHA ENTERPRISES,06/08/2021,P51700001968,31/07/2017,Yes,401107,2228557777,WWW.OSTWAL.COM,On-Going Project,30/06/2017,30/12/2023,Yes,Residential,No,Konkan,Thane,Thane,Mira-Bhayandar (M Corp.),401107,11612.17,4,0,9098.16,0,9098.16,INDUSIND BANK,INDB0000600,NO,0,16,9,25,7299.62,100,100,,238,238,210,210,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,210,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
